dimension_id,dimension_context,dimension_name,indicator_id,indicator_name
D1,Behavioral - Interpersonal,Education/family,1.1,School suspension incidence in the state by race/ethnicity
D1,Behavioral - Interpersonal,Education/family,1.2,Expenditures per Pupil for Elementary and Secondary Public Schools
D1,Behavioral - Interpersonal,Education/family,1.3,High School Attainment
D1,Behavioral - Interpersonal,Education/family,1.4,Marriage and single-family constructs
D1,Behavioral - Interpersonal,Education/family,1.5,Percent of pre-k enrollment by race and ethnicity
D1,Behavioral - Interpersonal,Education/family,1.6,Child support enforcement performance
D1,Behavioral - Interpersonal,Education/family,1.7,Proportion of child-removal cases
D1,Behavioral - Interpersonal,Education/family,1.8,Percent of working adults' eligibility and affordability for FMLA unpaid leave
D1,Behavioral - Interpersonal,Education/family,1.9,Percent Head Start eligible children with a Head Start center by race/ethnicity
D1,Behavioral - Interpersonal,Education/family,1.10,Occupational segmentation by race/ethnicity 
D2,Behavioral - Community,Community safety,2.1,Measures of police bias
D2,Behavioral - Community,Community safety,2.2,States that have laws allowing undocumented immigrants to have a driver's license.
D2,Behavioral - Community,Community safety,2.3,"State-level ""ethnic studies"" laws (allowing or preventing African American, Latino history)"
D2,Behavioral - Community,Community safety,2.4,Presence or density of white supremacy groups
D2,Behavioral - Community,Community safety,2.5,Average life expectancy by race
D3,Behavioral - Societal,Policy rights,3.1,DEI Preemption Laws
D3,Behavioral - Societal,Policy rights,3.2,Exposure to crime
D3,Behavioral - Societal,Policy rights,3.3,Voter ID/Voting Restrictions
D3,Behavioral - Societal,Policy rights,3.4,Womens' Health Rights
D3,Behavioral - Societal,Policy rights,3.5,Protection from Hair discrimination policies
D4,Physical/Built environment - interpersonal,Food/housing,4.1,Household food assistance need by race/ethnicity
D4,Physical/Built environment - interpersonal,Food/housing,4.2,Percent of evictions in state by race and ethnicity
D5,Physical/Built environment - community level,Neighborhood access,5.1,Social Infrastructure in neighborhoods
D5,Physical/Built environment - community level,Neighborhood access,5.2,Discrimination in Housing Markets
D5,Physical/Built environment - community level,Neighborhood access,5.3,Property values and tax base
D5,Physical/Built environment - community level,Neighborhood access,5.4,Zoning and land use policies
D5,Physical/Built environment - community level,Neighborhood access,5.5,Access to quality housing
D5,Physical/Built environment - community level,Neighborhood access,5.6,Environmental Justice concerns
D5,Physical/Built environment - community level,Neighborhood access,5.7,Investment in public infrastructure
D5,Physical/Built environment - community level,Neighborhood access,5.8,Transportation access limitations by race/ethnicity
D5,Physical/Built environment - community level,Neighborhood access,5.9,Business longevity by race and ethnicity
D6,Physical/Built environment - societal level,Structural conditions,6.1,Gentrification
D6,Physical/Built environment - societal level,Structural conditions,6.2,Median household income by race/ethnicity
D6,Physical/Built environment - societal level,Structural conditions,6.3,Median home value by race/ethnicity
D6,Physical/Built environment - societal level,Structural conditions,6.4,Home ownership rate by race/ ethnicity
D6,Physical/Built environment - societal level,Structural conditions,6.5,Incarceration rate in the state by race/ethnicity
D7,Sociocultural - Interpersonal,Connectedness,7.1,Economic connectedness
D8,Sociocultural - community,Financial access,8.1,Financial Services Access
D8,Sociocultural - community,Financial access,8.2,Credit insecurity
D8,Sociocultural - community,Financial access,8.3,Employment Stability by race and ethnicity
D8,Sociocultural - community,Financial access,8.4,Minority Owned Business
D8,Sociocultural - community,Financial access,8.5,Percentage of households that are underbanked by race and ethnicity
D8,Sociocultural - community,Financial access,8.6,Neighborhood-level credit scores by predominant race of neighborhood
D9,Sociocultural - societal,Labor opportunity,9.1,"""Fair-chance"" hiring policies"
D9,Sociocultural - societal,Labor opportunity,9.2,Workplace Benefits Disparities
D9,Sociocultural - societal,Labor opportunity,9.3,Income by race and ethnicity
D9,Sociocultural - societal,Labor opportunity,9.4,CDFI loans over a period of time
D9,Sociocultural - societal,Labor opportunity,9.5,Unemployment Rates by race and ethnicity
D10,Healthcare system - Interpersonal,Care capacity,10.1,Primary care physician availability
D10,Healthcare system - Interpersonal,Care capacity,10.2,Emergency department availability
D10,Healthcare system - Interpersonal,Care capacity,10.3,Number of Black/Hispanic physicians in the workforce
D11,Healthcare system - Community,Safety-net care,11.1,Safety Net Programs
D11,Healthcare system - Community,Safety-net care,11.2,Number of FQHCs per population unit
D12,Healthcare system - societal,Medicaid policy,12.1,Medicaid enrollment
D12,Healthcare system - societal,Medicaid policy,12.2,Medicaid unwinding
D12,Healthcare system - societal,Medicaid policy,12.3,Medicaid expansion
